maritalstatus,weeklyhoursworked,salary,children,totalmarriages
Never married or under 15 years old,40,0,0,0
Married,40,32000,2,1
Married,40,33000,0,1
Never married or under 15 years old,40,6000,2,0
Never married or under 15 years old,36,4000,0,0
Never married or under 15 years old,8,800,0,0
Never married or under 15 years old,0,-1,0,0
Widowed,0,0,0,1
Married,0,0,2,1
Never married or under 15 years old,0,-1,0,0
Married,45,140000,0,1
Married,48,86000,0,1
Married,25,11500,2,1
Never married or under 15 years old,0,-1,0,0
Never married or under 15 years old,40,40000,0,0
Married,48,50000,0,1
Married,40,40000,0,1
Never married or under 15 years old,30,35000,2,0
Married,0,0,0,1
Married,0,0,0,1
Married,0,0,0,1
Married,75,461000,0,1
Married,0,0,0,1
Married,0,0,0,1
Divorced,0,0,0,1
Widowed,0,0,0,1
Never married or under 15 years old,40,10000,0,0
Married,40,0,0,1
Married,40,43000,0,3
Divorced,12,13000,0,1
Divorced,40,0,0,2
Widowed,0,0,0,2
Divorced,40,20000,2,1
Never married or under 15 years old,0,0,2,0
Never married or under 15 years old,0,-1,0,0
Never married or under 15 years old,0,0,2,0
Never married or under 15 years old,0,-1,0,0
Separated,40,12000,0,1
Divorced,40,0,0,1
Never married or under 15 years old,15,0,0,0
Married,40,74000,0,1
Married,40,30000,2,1
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,0,-1,0,0
Never married or under 15 years old,0,-1,0,0
Widowed,0,0,0,1
Never married or under 15 years old,60,28800,1,0
Never married or under 15 years old,30,31200,0,0
Married,40,4500,0,2
Married,40,41000,0,2
Married,40,40000,0,1
Never married or under 15 years old,0,-1,0,0
Never married or under 15 years old,0,-1,0,0
Never married or under 15 years old,0,-1,0,0
Married,0,0,2,1
Married,48,225000,0,2
Married,0,0,0,2
Married,50,48000,0,1
Married,43,43000,2,1
Never married or under 15 years old,0,-1,0,0
Divorced,0,0,0,1
Separated,0,0,0,3
Married,60,0,0,2
Married,40,11400,0,1
Never married or under 15 years old,40,17500,0,0
Married,0,0,0,2
Married,40,0,0,1
Separated,0,0,2,1
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,40,26000,0,0
Divorced,40,21000,2,2
Never married or under 15 years old,40,0,0,0
Never married or under 15 years old,40,25000,2,0
Never married or under 15 years old,50,42600,0,0
Married,40,110000,0,1
Married,50,461000,2,1
Never married or under 15 years old,0,-1,0,0
Never married or under 15 years old,0,-1,0,0
Married,0,0,0,3
Married,25,0,0,3
Never married or under 15 years old,40,35400,2,0
Married,0,0,2,1
Never married or under 15 years old,40,25900,0,0
Married,40,36000,0,1
